Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;14814;12630;0;12888;13266;13986;13266;13986;12630;0;12888;13266;14814;16068;21528;19104;0;20094;;21528;21528;21528;20094;21411;20094;20094;21528;21528;22989;10503;21609;21609;21609;21609;21609;21609;10503;20175;20175;20175;20175;21609;20175;19185;20175
2;13986;12630;0;12888;12630;12888;12888;13266;12630;0;12888;12630;13266;13986;14814;19104;0;19104;19104;;21528;21528;19104;21741;19104;19104;20094;21528;21528;10422;21609;21609;20175;20175;21609;21609;10503;20175;20175;19185;19185;21609;20175;19185;20175
3;13266;12630;0;12630;12630;12630;12630;12888;12630;0;12630;12630;12630;13266;13986;12630;19104;19104;19104;19104;;21528;19104;0;19104;19104;20094;21528;21528;10422;21528;21609;20175;20175;21609;21609;10503;20175;20175;19185;19185;20175;19185;15909;20175
4;13602;12936;12924;12936;12936;12936;12936;12936;12552;12924;12936;12936;12936;13206;13602;12936;12936;19104;19104;19104;19104;;19104;0;19104;19104;20094;21528;21528;10422;21528;20094;20175;20175;21609;21609;10503;19185;20175;19185;19185;20175;19185;15909;19185
5;13206;12936;12924;12936;12936;12936;12936;12936;12552;12924;12552;12936;12936;12936;13206;12936;12924;12936;19104;19104;19104;20094;;0;15828;19104;20094;21528;21528;10422;20094;20094;20094;20175;21609;21609;10503;19185;20175;19185;19185;20175;19185;15909;19185
6;12936;12552;12924;12552;12552;12936;12936;12936;12552;12924;12552;12936;12936;12936;13206;12552;12924;12936;12936;19104;19104;20094;15828;;15828;19104;19104;21528;21528;10422;20094;19104;19104;19104;21609;21609;10503;19185;19185;19185;19185;20175;19185;15909;19185
7;12936;12552;12924;12552;12552;12936;12936;12936;12552;12924;12552;12552;12936;12936;12936;12552;12924;12552;12552;12936;19104;20094;15828;15828;;19104;19104;21528;21528;10422;19104;19104;19104;19104;21528;21609;10503;19185;19185;19185;19185;20175;19185;15909;19185
8;12936;12552;12924;12552;12552;12552;12552;12936;12552;12924;12174;12552;12936;12936;12936;12552;12924;12552;12552;12936;12936;19104;15828;15828;15828;;19104;21528;21528;10422;19104;19104;19104;19104;21528;21528;10503;19185;19185;15909;19185;19185;19185;15909;15909
9;12936;12552;12924;12552;12552;12552;12552;12936;12174;12924;12174;12552;12552;12936;12936;12552;12924;12552;12552;12936;12936;13206;15828;15828;15828;15828;;21528;21528;10422;19104;19104;19104;19104;21528;21528;10422;19185;19185;15909;15909;19185;19185;15909;15909
10;13254;12852;12924;12852;12852;12852;12852;13254;12456;12924;12456;12852;12852;13254;13254;12852;12924;12852;12852;12852;13254;13536;12852;15828;15828;15828;19104;;21528;10422;15828;19104;15828;19104;20094;21528;10422;19104;19185;15909;15909;19185;19185;15909;15909
