date,days,places,price,num,class,weekday,day_name,weekend
2021-04-06,1,0.6231884057971014,3161.0,001А,Купе,1,Tuesday,0
2021-04-07,1,0.6956521739130435,3275.0,001А,Купе,2,Wednesday,0
2021-04-08,1,0.12318840579710146,2088.0,001А,Купе,3,Thursday,0
2021-04-09,1,0.2608695652173913,3790.0,001А,Купе,4,Friday,0
2021-04-10,1,0.2608695652173913,3558.0,001А,Купе,5,Saturday,0
2021-04-11,1,0.0,,001А,Купе,6,Sunday,0
2021-04-12,1,0.2028985507246377,3790.0,001А,Купе,0,Monday,0
2021-04-13,1,0.37681159420289856,3790.0,001А,Купе,1,Tuesday,0
2021-04-14,1,0.6594202898550725,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,1,0.5289855072463768,2510.0,001А,Купе,3,Thursday,0
2021-04-16,1,0.34782608695652173,2510.0,001А,Купе,4,Friday,0
2021-04-17,1,0.5362318840579711,2510.0,001А,Купе,5,Saturday,0
2021-04-18,1,0.0,,001А,Купе,6,Sunday,0
2021-04-19,1,0.644927536231884,2510.0,001А,Купе,0,Monday,0
2021-04-20,1,0.5797101449275363,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,1,,,001А,Купе,2,Wednesday,0
2021-04-22,1,0.42028985507246375,3613.0,001А,Купе,3,Thursday,0
2021-04-23,1,,,001А,Купе,4,Friday,0
2021-04-24,1,0.463768115942029,3669.0,001А,Купе,5,Saturday,0
2021-04-25,1,0.0,,001А,Купе,6,Sunday,0
2021-04-26,1,0.5507246376811594,2510.0,001А,Купе,0,Monday,0
2021-04-27,1,0.4855072463768116,3669.0,001А,Купе,1,Tuesday,0
2021-04-28,1,0.4855072463768116,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,1,0.5434782608695652,2460.0,001А,Купе,3,Thursday,0
2021-05-14,1,0.0,,001А,Купе,4,Friday,0
2021-05-15,1,0.2971014492753623,2460.0,001А,Купе,5,Saturday,0
2021-05-16,1,0.0,,001А,Купе,6,Sunday,0
2021-05-17,1,0.3333333333333333,2460.0,001А,Купе,0,Monday,0
2021-05-18,1,0.6014492753623188,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,1,0.2318840579710145,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,1,0.45652173913043476,2460.0,001А,Купе,3,Thursday,0
2021-05-21,1,,,001А,Купе,4,Friday,0
2021-05-22,1,,,001А,Купе,5,Saturday,0
2021-05-23,1,,,001А,Купе,6,Sunday,0
2021-04-06,2,0.6376811594202898,3161.0,001А,Купе,1,Tuesday,0
2021-04-07,2,0.7391304347826086,3161.0,001А,Купе,2,Wednesday,0
2021-04-08,2,0.3115942028985507,2088.0,001А,Купе,3,Thursday,0
2021-04-09,2,0.30434782608695654,3731.0,001А,Купе,4,Friday,0
2021-04-10,2,0.3333333333333333,3558.0,001А,Купе,5,Saturday,0
2021-04-11,2,0.0,,001А,Купе,6,Sunday,0
2021-04-12,2,0.2318840579710145,3790.0,001А,Купе,0,Monday,0
2021-04-13,2,0.39855072463768115,3790.0,001А,Купе,1,Tuesday,0
2021-04-14,2,0.7463768115942029,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,2,0.6739130434782609,2510.0,001А,Купе,3,Thursday,0
2021-04-16,2,0.463768115942029,2510.0,001А,Купе,4,Friday,0
2021-04-17,2,0.6521739130434783,2510.0,001А,Купе,5,Saturday,0
2021-04-18,2,0.2028985507246377,4244.0,001А,Купе,6,Sunday,0
2021-04-19,2,0.717391304347826,2510.0,001А,Купе,0,Monday,0
2021-04-20,2,0.6376811594202898,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,2,0.6811594202898551,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,2,,,001А,Купе,3,Thursday,0
2021-04-23,2,0.5072463768115942,3376.0,001А,Купе,4,Friday,0
2021-04-24,2,0.463768115942029,3613.0,001А,Купе,5,Saturday,0
2021-04-25,2,0.007246376811594203,4382.0,001А,Купе,6,Sunday,0
2021-04-26,2,0.5942028985507246,2510.0,001А,Купе,0,Monday,0
2021-04-27,2,0.5579710144927537,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,2,0.5942028985507246,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,2,0.5652173913043478,2460.0,001А,Купе,3,Thursday,0
2021-05-14,2,0.050724637681159424,2460.0,001А,Купе,4,Friday,0
2021-05-15,2,0.37681159420289856,2460.0,001А,Купе,5,Saturday,0
2021-05-16,2,0.007246376811594203,3762.0,001А,Купе,6,Sunday,0
2021-05-17,2,0.4057971014492754,2460.0,001А,Купе,0,Monday,0
2021-05-18,2,0.6376811594202898,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,2,0.41304347826086957,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,2,0.5362318840579711,2460.0,001А,Купе,3,Thursday,0
2021-05-21,2,0.07971014492753623,3371.0,001А,Купе,4,Friday,0
2021-05-22,2,,,001А,Купе,5,Saturday,0
2021-05-23,2,,,001А,Купе,6,Sunday,0
2021-04-06,3,0.6739130434782609,3161.0,001А,Купе,1,Tuesday,0
2021-04-07,3,0.7463768115942029,3161.0,001А,Купе,2,Wednesday,0
2021-04-08,3,0.45652173913043476,2088.0,001А,Купе,3,Thursday,0
2021-04-09,3,0.3333333333333333,3503.0,001А,Купе,4,Friday,0
2021-04-10,3,0.39855072463768115,2898.0,001А,Купе,5,Saturday,0
2021-04-11,3,0.15217391304347827,4244.0,001А,Купе,6,Sunday,0
2021-04-12,3,0.2391304347826087,3325.0,001А,Купе,0,Monday,0
2021-04-13,3,0.4057971014492754,3558.0,001А,Купе,1,Tuesday,0
2021-04-14,3,0.7681159420289855,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,3,0.7536231884057971,2510.0,001А,Купе,3,Thursday,0
2021-04-16,3,0.5289855072463768,2510.0,001А,Купе,4,Friday,0
2021-04-17,3,0.7101449275362319,2510.0,001А,Купе,5,Saturday,0
2021-04-18,3,0.35507246376811596,3976.0,001А,Купе,6,Sunday,0
2021-04-19,3,0.8043478260869565,2510.0,001А,Купе,0,Monday,0
2021-04-20,3,0.6739130434782609,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,3,0.6884057971014492,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,3,0.572463768115942,2510.0,001А,Купе,3,Thursday,0
2021-04-23,3,,,001А,Купе,4,Friday,0
2021-04-24,3,0.463768115942029,3376.0,001А,Купе,5,Saturday,0
2021-04-25,3,0.11594202898550725,4313.0,001А,Купе,6,Sunday,0
2021-04-26,3,0.7028985507246377,2510.0,001А,Купе,0,Monday,0
2021-04-27,3,0.6014492753623188,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,3,0.6086956521739131,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,3,0.6014492753623188,2460.0,001А,Купе,3,Thursday,0
2021-05-14,3,0.15217391304347827,2460.0,001А,Купе,4,Friday,0
2021-05-15,3,0.6014492753623188,2460.0,001А,Купе,5,Saturday,0
2021-05-16,3,0.050724637681159424,3313.0,001А,Купе,6,Sunday,0
2021-05-17,3,0.5217391304347826,2460.0,001А,Купе,0,Monday,0
2021-05-18,3,0.6594202898550725,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,3,0.43478260869565216,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,3,0.7463768115942029,2460.0,001А,Купе,3,Thursday,0
2021-05-21,3,0.09420289855072464,3371.0,001А,Купе,4,Friday,0
2021-05-22,3,0.13043478260869565,2460.0,001А,Купе,5,Saturday,0
2021-05-23,3,,,001А,Купе,6,Sunday,0
2021-04-06,4,0.7246376811594203,3161.0,001А,Купе,1,Tuesday,0
2021-04-07,4,0.7463768115942029,3161.0,001А,Купе,2,Wednesday,0
2021-04-08,4,0.463768115942029,2088.0,001А,Купе,3,Thursday,0
2021-04-09,4,0.38405797101449274,3503.0,001А,Купе,4,Friday,0
2021-04-10,4,0.4855072463768116,2898.0,001А,Купе,5,Saturday,0
2021-04-11,4,0.17391304347826086,4176.0,001А,Купе,6,Sunday,0
2021-04-12,4,0.5217391304347826,3325.0,001А,Купе,0,Monday,0
2021-04-13,4,0.4057971014492754,3558.0,001А,Купе,1,Tuesday,0
2021-04-14,4,0.7753623188405797,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,4,0.7608695652173914,2510.0,001А,Купе,3,Thursday,0
2021-04-16,4,0.5942028985507246,2510.0,001А,Купе,4,Friday,0
2021-04-17,4,0.7318840579710145,2510.0,001А,Купе,5,Saturday,0
2021-04-18,4,0.5144927536231884,3709.0,001А,Купе,6,Sunday,0
2021-04-19,4,0.8623188405797102,2510.0,001А,Купе,0,Monday,0
2021-04-20,4,0.7608695652173914,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,4,0.717391304347826,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,4,0.5869565217391305,2510.0,001А,Купе,3,Thursday,0
2021-04-23,4,0.4855072463768116,3376.0,001А,Купе,4,Friday,0
2021-04-24,4,,,001А,Купе,5,Saturday,0
2021-04-25,4,0.14492753623188406,4040.0,001А,Купе,6,Sunday,0
2021-04-26,4,0.7753623188405797,2510.0,001А,Купе,0,Monday,0
2021-04-27,4,0.6956521739130435,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,4,0.6231884057971014,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,4,0.6086956521739131,2460.0,001А,Купе,3,Thursday,0
2021-05-14,4,0.21739130434782608,2460.0,001А,Купе,4,Friday,0
2021-05-15,4,0.6521739130434783,2460.0,001А,Купе,5,Saturday,0
2021-05-16,4,0.2826086956521739,3313.0,001А,Купе,6,Sunday,0
2021-05-17,4,0.6159420289855072,2460.0,001А,Купе,0,Monday,0
2021-05-18,4,0.7318840579710145,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,4,0.47101449275362317,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,4,0.7753623188405797,2460.0,001А,Купе,3,Thursday,0
2021-05-21,4,0.2391304347826087,2460.0,001А,Купе,4,Friday,0
2021-05-22,4,0.21739130434782608,2460.0,001А,Купе,5,Saturday,0
2021-05-23,4,0.4420289855072464,4964.0,001А,Купе,6,Sunday,0
2021-04-06,5,0.7318840579710145,3161.0,001А,Купе,1,Tuesday,0
2021-04-07,5,0.7608695652173914,3161.0,001А,Купе,2,Wednesday,0
2021-04-08,5,0.5144927536231884,2088.0,001А,Купе,3,Thursday,0
2021-04-09,5,0.38405797101449274,3503.0,001А,Купе,4,Friday,0
2021-04-10,5,0.5072463768115942,2898.0,001А,Купе,5,Saturday,0
2021-04-11,5,0.26811594202898553,3913.0,001А,Купе,6,Sunday,0
2021-04-12,5,0.6159420289855072,2088.0,001А,Купе,0,Monday,0
2021-04-13,5,0.6014492753623188,3325.0,001А,Купе,1,Tuesday,0
2021-04-14,5,0.782608695652174,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,5,0.7753623188405797,2510.0,001А,Купе,3,Thursday,0
2021-04-16,5,0.6594202898550725,2510.0,001А,Купе,4,Friday,0
2021-04-17,5,0.7681159420289855,2510.0,001А,Купе,5,Saturday,0
2021-04-18,5,0.5942028985507246,3575.0,001А,Купе,6,Sunday,0
2021-04-19,5,0.9130434782608695,2510.0,001А,Купе,0,Monday,0
2021-04-20,5,0.8333333333333334,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,5,0.7536231884057971,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,5,0.6521739130434783,2510.0,001А,Купе,3,Thursday,0
2021-04-23,5,0.4927536231884058,3376.0,001А,Купе,4,Friday,0
2021-04-24,5,0.5434782608695652,2608.0,001А,Купе,5,Saturday,0
2021-04-25,5,,,001А,Купе,6,Sunday,0
2021-04-26,5,0.782608695652174,2510.0,001А,Купе,0,Monday,0
2021-04-27,5,0.7246376811594203,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,5,,,001А,Купе,2,Wednesday,0
2021-05-13,5,0.6304347826086957,2460.0,001А,Купе,3,Thursday,0
2021-05-14,5,0.2463768115942029,2460.0,001А,Купе,4,Friday,0
2021-05-15,5,0.6739130434782609,2460.0,001А,Купе,5,Saturday,0
2021-05-16,5,0.4927536231884058,3313.0,001А,Купе,6,Sunday,0
2021-05-17,5,0.6739130434782609,2460.0,001А,Купе,0,Monday,0
2021-05-18,5,0.8115942028985508,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,5,0.5362318840579711,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,5,0.8188405797101449,2460.0,001А,Купе,3,Thursday,0
2021-05-21,5,0.30434782608695654,2460.0,001А,Купе,4,Friday,0
2021-05-22,5,0.2391304347826087,2460.0,001А,Купе,5,Saturday,0
2021-05-23,5,0.463768115942029,4964.0,001А,Купе,6,Sunday,0
2021-04-06,6,0.7391304347826086,2088.0,001А,Купе,1,Tuesday,0
2021-04-07,6,0.7608695652173914,3161.0,001А,Купе,2,Wednesday,0
2021-04-08,6,0.5869565217391305,2088.0,001А,Купе,3,Thursday,0
2021-04-09,6,0.38405797101449274,3503.0,001А,Купе,4,Friday,0
2021-04-10,6,0.5217391304347826,2898.0,001А,Купе,5,Saturday,0
2021-04-11,6,0.34782608695652173,3913.0,001А,Купе,6,Sunday,0
2021-04-12,6,0.717391304347826,2088.0,001А,Купе,0,Monday,0
2021-04-13,6,0.6594202898550725,2088.0,001А,Купе,1,Tuesday,0
2021-04-14,6,0.8333333333333334,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,6,0.7753623188405797,2510.0,001А,Купе,3,Thursday,0
2021-04-16,6,0.6956521739130435,2510.0,001А,Купе,4,Friday,0
2021-04-17,6,0.7753623188405797,2510.0,001А,Купе,5,Saturday,0
2021-04-18,6,0.644927536231884,3575.0,001А,Купе,6,Sunday,0
2021-04-19,6,0.9492753623188406,2510.0,001А,Купе,0,Monday,0
2021-04-20,6,0.8333333333333334,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,6,0.7753623188405797,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,6,0.7246376811594203,2510.0,001А,Купе,3,Thursday,0
2021-04-23,6,,,001А,Купе,4,Friday,0
2021-04-24,6,0.6086956521739131,2608.0,001А,Купе,5,Saturday,0
2021-04-25,6,0.3115942028985507,4040.0,001А,Купе,6,Sunday,0
2021-04-26,6,,,001А,Купе,0,Monday,0
2021-04-27,6,0.7391304347826086,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,6,0.7246376811594203,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,6,0.6376811594202898,2460.0,001А,Купе,3,Thursday,0
2021-05-14,6,0.2898550724637681,2460.0,001А,Купе,4,Friday,0
2021-05-15,6,0.6956521739130435,2460.0,001А,Купе,5,Saturday,0
2021-05-16,6,0.5217391304347826,3313.0,001А,Купе,6,Sunday,0
2021-05-17,6,0.717391304347826,2460.0,001А,Купе,0,Monday,0
2021-05-18,6,0.8405797101449275,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,6,0.5797101449275363,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,6,0.8333333333333334,2460.0,001А,Купе,3,Thursday,0
2021-05-21,6,0.37681159420289856,2460.0,001А,Купе,4,Friday,0
2021-05-22,6,0.2898550724637681,2460.0,001А,Купе,5,Saturday,0
2021-05-23,6,0.5797101449275363,4614.0,001А,Купе,6,Sunday,0
2021-04-06,7,0.7536231884057971,2088.0,001А,Купе,1,Tuesday,0
2021-04-07,7,0.7898550724637681,2705.0,001А,Купе,2,Wednesday,0
2021-04-08,7,0.7246376811594203,2088.0,001А,Купе,3,Thursday,0
2021-04-09,7,0.463768115942029,2391.0,001А,Купе,4,Friday,0
2021-04-10,7,0.5217391304347826,2898.0,001А,Купе,5,Saturday,0
2021-04-11,7,0.34782608695652173,3913.0,001А,Купе,6,Sunday,0
2021-04-12,7,0.7463768115942029,2088.0,001А,Купе,0,Monday,0
2021-04-13,7,0.7463768115942029,2088.0,001А,Купе,1,Tuesday,0
2021-04-14,7,0.8623188405797102,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,7,0.8043478260869565,2510.0,001А,Купе,3,Thursday,0
2021-04-16,7,0.6956521739130435,2510.0,001А,Купе,4,Friday,0
2021-04-17,7,0.8623188405797102,2510.0,001А,Купе,5,Saturday,0
2021-04-18,7,0.7028985507246377,3575.0,001А,Купе,6,Sunday,0
2021-04-19,7,0.9782608695652174,2510.0,001А,Купе,0,Monday,0
2021-04-20,7,0.8985507246376812,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,7,0.7898550724637681,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,7,0.8695652173913043,2510.0,001А,Купе,3,Thursday,0
2021-04-23,7,0.5072463768115942,3325.0,001А,Купе,4,Friday,0
2021-04-24,7,0.6739130434782609,2608.0,001А,Купе,5,Saturday,0
2021-04-25,7,0.3188405797101449,4040.0,001А,Купе,6,Sunday,0
2021-04-26,7,0.8478260869565217,2510.0,001А,Купе,0,Monday,0
2021-04-27,7,,,001А,Купе,1,Tuesday,0
2021-04-28,7,0.7318840579710145,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,7,0.6594202898550725,2460.0,001А,Купе,3,Thursday,0
2021-05-14,7,0.2971014492753623,2460.0,001А,Купе,4,Friday,0
2021-05-15,7,0.7028985507246377,2460.0,001А,Купе,5,Saturday,0
2021-05-16,7,0.5579710144927537,3313.0,001А,Купе,6,Sunday,0
2021-05-17,7,0.7391304347826086,2460.0,001А,Купе,0,Monday,0
2021-05-18,7,0.8768115942028986,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,7,0.6086956521739131,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,7,0.855072463768116,2460.0,001А,Купе,3,Thursday,0
2021-05-21,7,0.463768115942029,2460.0,001А,Купе,4,Friday,0
2021-05-22,7,0.30434782608695654,2460.0,001А,Купе,5,Saturday,0
2021-05-23,7,0.5869565217391305,4614.0,001А,Купе,6,Sunday,0
2021-04-06,8,0.8043478260869565,2088.0,001А,Купе,1,Tuesday,0
2021-04-07,8,0.7971014492753623,2705.0,001А,Купе,2,Wednesday,0
2021-04-08,8,0.7898550724637681,2088.0,001А,Купе,3,Thursday,0
2021-04-09,8,0.4927536231884058,2391.0,001А,Купе,4,Friday,0
2021-04-10,8,0.5289855072463768,2898.0,001А,Купе,5,Saturday,0
2021-04-11,8,0.35507246376811596,3913.0,001А,Купе,6,Sunday,0
2021-04-12,8,0.7608695652173914,2088.0,001А,Купе,0,Monday,0
2021-04-13,8,0.7608695652173914,2088.0,001А,Купе,1,Tuesday,0
2021-04-14,8,0.9130434782608695,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,8,0.8188405797101449,2510.0,001А,Купе,3,Thursday,0
2021-04-16,8,0.7536231884057971,2510.0,001А,Купе,4,Friday,0
2021-04-17,8,0.8623188405797102,2510.0,001А,Купе,5,Saturday,0
2021-04-18,8,0.7246376811594203,3441.0,001А,Купе,6,Sunday,0
2021-04-19,8,0.9855072463768116,2510.0,001А,Купе,0,Monday,0
2021-04-20,8,0.9130434782608695,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,8,0.8405797101449275,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,8,0.8768115942028986,2510.0,001А,Купе,3,Thursday,0
2021-04-23,8,0.5072463768115942,2510.0,001А,Купе,4,Friday,0
2021-04-24,8,0.7101449275362319,2608.0,001А,Купе,5,Saturday,0
2021-04-25,8,0.3188405797101449,4040.0,001А,Купе,6,Sunday,0
2021-04-26,8,0.8478260869565217,2510.0,001А,Купе,0,Monday,0
2021-04-27,8,0.8768115942028986,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,8,,,001А,Купе,2,Wednesday,0
2021-05-13,8,0.717391304347826,2460.0,001А,Купе,3,Thursday,0
2021-05-14,8,0.3333333333333333,2460.0,001А,Купе,4,Friday,0
2021-05-15,8,0.7101449275362319,2460.0,001А,Купе,5,Saturday,0
2021-05-16,8,0.5797101449275363,3313.0,001А,Купе,6,Sunday,0
2021-05-17,8,0.7608695652173914,2460.0,001А,Купе,0,Monday,0
2021-05-18,8,0.8840579710144928,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,8,0.6376811594202898,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,8,0.8840579710144928,2460.0,001А,Купе,3,Thursday,0
2021-05-21,8,0.5072463768115942,2460.0,001А,Купе,4,Friday,0
2021-05-22,8,0.3695652173913043,2460.0,001А,Купе,5,Saturday,0
2021-05-23,8,0.5942028985507246,4614.0,001А,Купе,6,Sunday,0
2021-04-06,9,0.8115942028985508,2088.0,001А,Купе,1,Tuesday,0
2021-04-07,9,0.8768115942028986,3047.0,001А,Купе,2,Wednesday,0
2021-04-08,9,0.7898550724637681,2088.0,001А,Купе,3,Thursday,0
2021-04-09,9,0.5579710144927537,2391.0,001А,Купе,4,Friday,0
2021-04-10,9,0.5434782608695652,2898.0,001А,Купе,5,Saturday,0
2021-04-11,9,0.3695652173913043,2995.0,001А,Купе,6,Sunday,0
2021-04-12,9,0.7898550724637681,2088.0,001А,Купе,0,Monday,0
2021-04-13,9,0.7681159420289855,2088.0,001А,Купе,1,Tuesday,0
2021-04-14,9,,,001А,Купе,2,Wednesday,0
2021-04-15,9,0.8260869565217391,2510.0,001А,Купе,3,Thursday,0
2021-04-16,9,0.8188405797101449,2510.0,001А,Купе,4,Friday,0
2021-04-17,9,0.9057971014492754,2510.0,001А,Купе,5,Saturday,0
2021-04-18,9,0.7246376811594203,3441.0,001А,Купе,6,Sunday,0
2021-04-19,9,0.9855072463768116,2510.0,001А,Купе,0,Monday,0
2021-04-20,9,0.9130434782608695,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,9,0.8840579710144928,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,9,0.8768115942028986,2510.0,001А,Купе,3,Thursday,0
2021-04-23,9,0.5362318840579711,2510.0,001А,Купе,4,Friday,0
2021-04-24,9,0.6956521739130435,2608.0,001А,Купе,5,Saturday,0
2021-04-25,9,0.35507246376811596,3976.0,001А,Купе,6,Sunday,0
2021-04-26,9,0.8478260869565217,2510.0,001А,Купе,0,Monday,0
2021-04-27,9,0.8840579710144928,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,9,0.7753623188405797,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,9,0.7246376811594203,2460.0,001А,Купе,3,Thursday,0
2021-05-14,9,0.45652173913043476,2460.0,001А,Купе,4,Friday,0
2021-05-15,9,0.7246376811594203,2460.0,001А,Купе,5,Saturday,0
2021-05-16,9,0.6376811594202898,3313.0,001А,Купе,6,Sunday,0
2021-05-17,9,0.7753623188405797,2460.0,001А,Купе,0,Monday,0
2021-05-18,9,0.8840579710144928,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,9,0.6376811594202898,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,9,0.9057971014492754,2460.0,001А,Купе,3,Thursday,0
2021-05-21,9,0.5579710144927537,2460.0,001А,Купе,4,Friday,0
2021-05-22,9,0.4057971014492754,2460.0,001А,Купе,5,Saturday,0
2021-05-23,9,0.6376811594202898,4439.0,001А,Купе,6,Sunday,0
2021-04-06,10,0.8188405797101449,2088.0,001А,Купе,1,Tuesday,0
2021-04-07,10,0.8768115942028986,3047.0,001А,Купе,2,Wednesday,0
2021-04-08,10,0.8188405797101449,2088.0,001А,Купе,3,Thursday,0
2021-04-09,10,0.5652173913043478,2391.0,001А,Купе,4,Friday,0
2021-04-10,10,0.5507246376811594,2898.0,001А,Купе,5,Saturday,0
2021-04-11,10,0.5217391304347826,2995.0,001А,Купе,6,Sunday,0
2021-04-12,10,0.8623188405797102,2088.0,001А,Купе,0,Monday,0
2021-04-13,10,0.7681159420289855,2088.0,001А,Купе,1,Tuesday,0
2021-04-14,10,0.9202898550724637,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,10,0.8478260869565217,2510.0,001А,Купе,3,Thursday,0
2021-04-16,10,0.8695652173913043,2510.0,001А,Купе,4,Friday,0
2021-04-17,10,0.9057971014492754,2510.0,001А,Купе,5,Saturday,0
2021-04-18,10,0.7463768115942029,3441.0,001А,Купе,6,Sunday,0
2021-04-19,10,0.9855072463768116,2510.0,001А,Купе,0,Monday,0
2021-04-20,10,0.9130434782608695,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,10,0.8913043478260869,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,10,0.8985507246376812,2510.0,001А,Купе,3,Thursday,0
2021-04-23,10,0.6086956521739131,2510.0,001А,Купе,4,Friday,0
2021-04-24,10,0.6956521739130435,2608.0,001А,Купе,5,Saturday,0
2021-04-25,10,0.36231884057971014,2884.0,001А,Купе,6,Sunday,0
2021-04-26,10,0.8478260869565217,2510.0,001А,Купе,0,Monday,0
2021-04-27,10,0.8840579710144928,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,10,0.7753623188405797,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,10,0.7391304347826086,2460.0,001А,Купе,3,Thursday,0
2021-05-14,10,0.5,2460.0,001А,Купе,4,Friday,0
2021-05-15,10,0.7318840579710145,2460.0,001А,Купе,5,Saturday,0
2021-05-16,10,0.6521739130434783,3313.0,001А,Купе,6,Sunday,0
2021-05-17,10,0.7753623188405797,2460.0,001А,Купе,0,Monday,0
2021-05-18,10,0.8840579710144928,2460.0,001А,Купе,1,Tuesday,0
2021-05-19,10,0.644927536231884,2460.0,001А,Купе,2,Wednesday,0
2021-05-20,10,0.8913043478260869,2460.0,001А,Купе,3,Thursday,0
2021-05-21,10,0.5652173913043478,2460.0,001А,Купе,4,Friday,0
2021-05-22,10,0.43478260869565216,2460.0,001А,Купе,5,Saturday,0
2021-05-23,10,0.6666666666666666,4439.0,001А,Купе,6,Sunday,0
2021-04-06,11,0.8333333333333334,2088.0,001А,Купе,1,Tuesday,0
2021-04-07,11,0.8768115942028986,2933.0,001А,Купе,2,Wednesday,0
2021-04-08,11,0.8260869565217391,2088.0,001А,Купе,3,Thursday,0
2021-04-09,11,0.5797101449275363,2088.0,001А,Купе,4,Friday,0
2021-04-10,11,0.5579710144927537,2898.0,001А,Купе,5,Saturday,0
2021-04-11,11,0.5434782608695652,2995.0,001А,Купе,6,Sunday,0
2021-04-12,11,0.8695652173913043,2088.0,001А,Купе,0,Monday,0
2021-04-13,11,0.7898550724637681,2088.0,001А,Купе,1,Tuesday,0
2021-04-14,11,0.927536231884058,2510.0,001А,Купе,2,Wednesday,0
2021-04-15,11,0.8478260869565217,2510.0,001А,Купе,3,Thursday,0
2021-04-16,11,0.8768115942028986,2510.0,001А,Купе,4,Friday,0
2021-04-17,11,0.9057971014492754,2510.0,001А,Купе,5,Saturday,0
2021-04-18,11,0.7536231884057971,3258.0,001А,Купе,6,Sunday,0
2021-04-19,11,1.0,2510.0,001А,Купе,0,Monday,0
2021-04-20,11,0.9130434782608695,2510.0,001А,Купе,1,Tuesday,0
2021-04-21,11,0.8913043478260869,2510.0,001А,Купе,2,Wednesday,0
2021-04-22,11,0.8985507246376812,2510.0,001А,Купе,3,Thursday,0
2021-04-23,11,0.644927536231884,2510.0,001А,Купе,4,Friday,0
2021-04-24,11,0.7391304347826086,2608.0,001А,Купе,5,Saturday,0
2021-04-25,11,0.4492753623188406,2884.0,001А,Купе,6,Sunday,0
2021-04-26,11,0.8768115942028986,2510.0,001А,Купе,0,Monday,0
2021-04-27,11,0.9130434782608695,2510.0,001А,Купе,1,Tuesday,0
2021-04-28,11,0.7753623188405797,2510.0,001А,Купе,2,Wednesday,0
2021-05-13,11,0.7391304347826086,2460.0,001А,Купе,3,Thursday,0
2021-05-14,11,0.5652173913043478,2460.0,001А,Купе,4,Friday,0
2021-05-15,11,,,001А,Купе,5,Saturday,0
